202105251759105223727.04680,N,12639.47052,E,1,04,4.01,50.8,17.8
202105251759106233727.04682,N,12639.47056,E,1,04,4.01,50.8,17.8
202105251759107203727.04683,N,12639.47056,E,1,04,4.01,50.8,17.8
202105251759108213727.04684,N,12639.47056,E,1,04,4.01,50.8,17.8
202105251759109223727.04685,N,12639.47056,E,1,04,4.01,50.8,17.8
202105251759110243727.04686,N,12639.47056,E,1,04,4.01,50.8,17.8
202105251759111223727.04689,N,12639.47061,E,1,04,4.01,50.8,17.8
202105251759112233727.04693,N,12639.47071,E,1,04,4.01,50.8,17.8
202105251759113213727.04710,N,12639.47080,E,1,04,4.01,50.8,17.8
202105251759114223727.04724,N,12639.47091,E,1,04,4.01,50.8,17.8
202105251759115223727.04725,N,12639.47094,E,1,04,4.01,50.9,17.8
202105251759116223727.04726,N,12639.47098,E,1,04,4.01,50.9,17.8
202105251759117213727.04725,N,12639.47103,E,1,04,4.01,51.0,17.8
202105251759118233727.04715,N,12639.47105,E,1,04,4.01,51.1,17.8
202105251759119213727.04705,N,12639.47107,E,1,04,4.01,51.2,17.8
202105251759120243727.04698,N,12639.47109,E,1,04,4.01,51.3,17.8
202105251759121183727.04694,N,12639.47112,E,1,04,4.01,51.4,17.8
202105251759122203727.04684,N,12639.47110,E,1,04,4.01,51.5,17.8
202105251759123243727.04674,N,12639.47107,E,1,04,4.01,51.5,17.8
202105251759124263727.04671,N,12639.47107,E,1,04,4.01,51.6,17.8
202105251759125253727.04676,N,12639.47111,E,1,04,4.01,51.6,17.8
202105251759126243727.04681,N,12639.47115,E,1,04,4.01,51.6,17.8
202105251759127263727.04694,N,12639.47121,E,1,04,4.01,51.6,17.8
202105251759128253727.04708,N,12639.47129,E,1,04,4.01,51.6,17.8
202105251759129263727.04723,N,12639.47136,E,1,04,4.01,51.6,17.8
202105251759130243727.04741,N,12639.47149,E,1,04,4.01,51.6,17.8
202105251759131263727.04762,N,12639.47164,E,1,04,4.01,51.6,17.8
202105251759132243727.04783,N,12639.47180,E,1,04,4.01,51.6,17.8
202105251759133243727.04797,N,12639.47192,E,1,04,4.01,51.6,17.8
202105251759134233727.04802,N,12639.47202,E,1,04,4.01,51.7,17.8
202105251759135243727.04813,N,12639.47213,E,1,04,4.01,51.8,17.8
202105251759136263727.04829,N,12639.47228,E,1,04,4.01,51.8,17.8
202105251759137273727.04835,N,12639.47239,E,1,04,4.01,51.9,17.8
202105251759138253727.04845,N,12639.47254,E,1,04,4.01,52.1,17.8
202105251759139263727.04852,N,12639.47255,E,1,04,4.01,52.1,17.8
202105251759140203727.04857,N,12639.47258,E,1,04,4.01,52.2,17.8
202105251759141223727.04857,N,12639.47260,E,1,04,4.01,52.2,17.8
202105251759142203727.04856,N,12639.47262,E,1,04,4.01,52.2,17.8
202105251759143193727.04856,N,12639.47263,E,1,04,4.01,52.3,17.8
202105251759144193727.04863,N,12639.47268,E,1,04,4.01,52.3,17.8
202105251759145213727.04870,N,12639.47273,E,1,04,4.01,52.3,17.8
202105251759146243727.04875,N,12639.47277,E,1,04,4.01,52.3,17.8
202105251759147213727.04871,N,12639.47272,E,1,04,4.01,52.4,17.8
202105251759148223727.04857,N,12639.47267,E,1,04,4.01,52.5,17.8
202105251759149253727.04844,N,12639.47262,E,1,04,4.01,52.5,17.8
202105251759150193727.04845,N,12639.47263,E,1,04,4.01,52.5,17.8
202105251759151193727.04851,N,12639.47267,E,1,04,4.01,52.5,17.8
